iter	Passed	Remaining
442	1222	1537
443	1225	1534
444	1227	1530
445	1229	1526
446	1231	1523
447	1233	1519
448	1236	1517
449	1241	1516
450	1243	1513
451	1244	1509
452	1246	1505
453	1248	1501
454	1249	1496
455	1251	1492
456	1253	1489
457	1255	1486
458	1257	1482
459	1259	1478
460	1261	1475
461	1267	1476
462	1269	1472
463	1271	1469
464	1273	1465
465	1275	1462
466	1278	1458
467	1280	1455
468	1282	1452
469	1284	1448
470	1286	1445
471	1288	1441
472	1290	1438
473	1292	1434
474	1295	1431
475	1302	1433
476	1304	1430
477	1306	1426
478	1309	1423
479	1311	1420
480	1316	1420
481	1321	1420
482	1326	1419
483	1330	1417
484	1331	1414
485	1333	1410
486	1335	1406
487	1337	1402
488	1338	1399
489	1340	1395
490	1342	1391
491	1343	1387
492	1345	1383
493	1347	1380
494	1348	1376
495	1350	1372
496	1353	1369
497	1358	1369
498	1359	1365
499	1361	1361
500	1363	1358
501	1365	1354
502	1368	1352
503	1371	1349
504	1372	1345
505	1374	1341
506	1376	1338
507	1377	1334
508	1379	1330
509	1382	1327
510	1387	1327
511	1390	1324
512	1391	1321
513	1393	1317
514	1396	1315
515	1401	1315
516	1403	1311
517	1405	1307
518	1407	1304
519	1408	1300
520	1411	1297
521	1413	1293
522	1414	1290
523	1416	1287
524	1418	1283
525	1420	1280
526	1422	1276
527	1424	1273
528	1426	1269
529	1428	1266
530	1430	1263
531	1431	1259
532	1433	1255
533	1435	1252
534	1437	1249
535	1439	1246
536	1442	1243
537	1446	1242
538	1453	1243
539	1457	1241
540	1458	1237
541	1461	1234
542	1463	1231
543	1464	1227
544	1466	1224
545	1468	1220
546	1469	1217
547	1471	1214
548	1473	1210
549	1475	1207
550	1480	1206
551	1482	1203
552	1484	1199
553	1486	1196
554	1488	1193
555	1490	1190
556	1492	1187
557	1495	1184
558	1496	1180
559	1498	1177
560	1501	1174
561	1503	1171
562	1506	1169
563	1507	1165
564	1509	1161
565	1510	1158
566	1512	1155
567	1514	1151
568	1516	1148
569	1518	1145
570	1520	1142
571	1522	1139
572	1524	1136
573	1526	1133
574	1529	1130
575	1531	1127
576	1533	1124
577	1537	1122
578	1541	1120
579	1544	1118
580	1547	1115
581	1552	1115
582	1562	1117
583	1568	1117
584	1570	1114
585	1585	1120
586	1588	1117
587	1595	1118
588	1599	1116
589	1604	1114
590	1612	1115
591	1617	1114
592	1619	1111
593	1622	1108
594	1625	1106
595	1628	1103
596	1632	1101
597	1636	1100
598	1640	1098
599	1644	1096
600	1651	1096
601	1654	1093
602	1656	1090
603	1658	1087
604	1660	1084
605	1663	1081
606	1669	1080
607	1673	1078
608	1676	1076
609	1690	1080
610	1701	1082
611	1710	1084
612	1713	1081
613	1722	1083
614	1731	1083
615	1737	1083
616	1742	1081
617	1744	1078
618	1749	1077
619	1760	1078
620	1762	1075
621	1764	1072
622	1770	1071
623	1777	1071
624	1784	1070
625	1790	1069
626	1799	1070
627	1805	1069
628	1807	1066
629	1817	1067
630	1844	1078
631	1867	1087
632	1878	1088
633	1886	1089
634	1893	1088
635	1895	1085
636	1911	1089
637	1930	1095
638	1941	1096
639	1949	1096
640	1952	1093
641	1960	1093
642	1972	1095
643	1979	1094
644	1981	1090
645	1987	1089
646	1994	1087
647	1997	1084
648	1999	1081
649	2001	1077
650	2006	1075
651	2015	1075
652	2018	1072
653	2023	1070
654	2025	1066
655	2027	1063
656	2029	1059
657	2031	1055
658	2033	1052
659	2035	1048
660	2037	1045
661	2039	1041
662	2042	1038
663	2044	1034
664	2047	1031
665	2052	1029
666	2055	1026
667	2057	1022
668	2062	1020
669	2065	1017
670	2069	1014
671	2072	1011
672	2074	1008
673	2079	1006
674	2083	1003
675	2088	1000
676	2095	999
677	2104	999
678	2110	997
679	2115	995
680	2117	991
681	2122	989
682	2127	987
683	2134	985
684	2140	984
685	2146	982
686	2153	980
687	2162	980
688	2166	977
689	2172	976
690	2179	974
691	2183	971
692	2185	968
693	2213	975
694	2222	975
695	2233	975
696	2241	974
697	2255	975
698	2257	972
699	2267	971
700	2273	969
701	2280	967
702	2287	966
703	2293	964
704	2305	964
705	2316	964
706	2325	963
707	2334	962
708	2340	960
709	2342	956
710	2344	953
711	2347	949
712	2350	946
713	2353	942
714	2357	939
715	2359	936
716	2362	932
717	2365	928
718	2369	926
719	2372	922
720	2375	919
721	2378	915
722	2380	912
723	2382	908
724	2385	904
725	2387	900
726	2389	897
727	2391	893
728	2392	889
729	2394	885
730	2404	884
731	2410	882
732	2417	880
733	2422	877
734	2426	874
735	2432	872
736	2434	868
737	2442	867
738	2445	863
739	2448	860
740	2452	857
741	2454	853
742	2459	850
743	2463	847
744	2467	844
745	2473	842
746	2479	839
747	2485	837
748	2489	834
749	2504	834
750	2511	832
751	2513	828
752	2515	825
753	2518	821
754	2523	818
755	2526	815
756	2528	811
757	2534	809
758	2539	806
759	2541	802
760	2545	799
761	2549	796
762	2553	793
763	2558	790
764	2562	787
765	2571	785
766	2581	784
767	2589	782
768	2599	780
769	2603	777
770	2611	775
771	2622	774
772	2636	774
773	2654	775
774	2658	771
775	2664	768
776	2667	765
777	2669	761
778	2673	758
779	2676	755
780	2678	751
781	2680	747
782	2682	743
783	2684	739
784	2686	735
785	2689	732
786	2691	728
787	2693	724
788	2695	720
789	2698	717
790	2701	713
791	2709	711
792	2716	709
793	2734	709
794	2742	707
795	2751	705
796	2753	701
797	2757	698
798	2765	695
799	2767	691
800	2771	688
801	2779	686
802	2781	682
803	2785	678
804	2787	675
805	2792	672
806	2795	668
807	2801	665
808	2809	663
809	2815	660
810	2821	657
811	2824	653
812	2831	651
813	2836	648
814	2838	644
815	2841	640
816	2845	637
817	2852	634
818	2865	633
819	2871	630
820	2874	626
821	2876	622
822	2881	619
823	2886	616
824	2889	612
825	2892	609
826	2894	605
827	2897	601
828	2899	598
829	2902	594
830	2907	591
831	2909	587
832	2922	585
833	2924	582
834	2929	578
835	2935	575
836	2940	572
837	2944	569
838	2956	567
839	2974	566
840	2985	564
841	2992	561
842	2995	557
843	3000	554
844	3003	550
845	3016	549
846	3026	546
847	3028	542
848	3032	539
849	3047	537
850	3059	535
851	3077	534
852	3088	532
853	3102	530
854	3104	526
855	3116	524
856	3131	522
857	3147	520
858	3164	519
859	3178	517
860	3190	515
861	3199	512
862	3203	508
863	3209	505
864	3218	502
865	3225	499
866	3230	495
867	3235	492
868	3240	488
869	3244	484
870	3247	481
871	3254	477
872	3280	477
873	3294	475
874	3297	471
875	3316	469
876	3332	467
877	3338	463
878	3342	460
879	3346	456
880	3350	452
881	3358	449
882	3360	445
883	3364	441
884	3372	438
885	3396	436
886	3425	436
887	3430	432
888	3432	428
889	3438	424
890	3443	421
891	3452	418
892	3460	414
893	3471	411
894	3476	407
895	3482	404
896	3486	400
897	3490	396
898	3493	392
899	3502	389
900	3510	385
901	3515	381
902	3522	378
903	3526	374
904	3530	370
905	3535	366
906	3537	362
907	3542	358
908	3550	355
909	3555	351
910	3556	347
911	3562	343
912	3568	340
913	3581	337
914	3590	333
915	3596	329
916	3600	325
917	3607	322
918	3612	318
919	3616	314
920	3620	310
921	3627	306
922	3632	302
923	3634	298
924	3638	295
925	3643	291
926	3647	287
927	3652	283
928	3661	279
929	3666	275
930	3670	272
931	3672	267
932	3677	264
933	3680	260
934	3684	256
935	3688	252
936	3693	248
937	3699	244
938	3702	240
939	3706	236
940	3709	232
941	3714	228
942	3718	224
943	3724	220
944	3729	217
945	3734	213
946	3738	209
947	3745	205
948	3749	201
949	3757	197
950	3761	193
951	3764	189
952	3767	185
953	3770	181
954	3771	177
955	3773	173
956	3775	169
957	3776	165
958	3777	161
959	3781	157
960	3783	153
961	3785	149
962	3787	145
963	3790	141
964	3794	137
965	3798	133
966	3802	129
967	3806	125
968	3811	121
969	3817	118
970	3822	114
971	3826	110
972	3846	106
973	3857	102
974	3876	99
975	3883	95
976	3889	91
977	3895	87
978	3901	83
979	3908	79
980	3912	75
981	3915	71
982	3921	67
983	3925	63
984	3929	59
985	3934	55
986	3937	51
987	3945	47
988	3951	43
989	3956	39
990	3958	35
991	3962	31
992	3964	27
993	3968	23
994	3971	19
995	3975	15
996	3979	11
997	3988	7
998	3990	3
999	3993	0
